citing,cited
WOS:000752849700035,WOS:000498404700027
WOS:000752849700035,WOS:000353015800124
WOS:000752849700035,WOS:000548999400001
WOS:000752849700035,WOS:000545288600005
WOS:000758152200001,WOS:000504552000001
WOS:000745515800001,WOS:000703327100001
WOS:000745515800001,WOS:000541127800052
WOS:000745515800001,WOS:000566296200001
WOS:000745515800001,WOS:000582586400022
WOS:000745515800001,WOS:000464140500001
WOS:000745515800001,WOS:000618081600003
WOS:000745515800001,WOS:000612229800006
WOS:000745515800001,WOS:000497160500098
WOS:000745515800001,WOS:000562037900010
WOS:000745515800001,WOS:000640952900001
WOS:000745515800001,WOS:000582585800009
WOS:000745515800001,WOS:000527331800064
WOS:000745515800001,WOS:000473770600001
WOS:000745515800001,WOS:000411818200008
WOS:000745515800001,WOS:000531720100005
WOS:000745515800001,WOS:000473774600001
WOS:000745515800001,WOS:000466545100001
WOS:000745515800001,WOS:000525451000001
WOS:000745515800001,WOS:000501392500033
WOS:000745515800001,WOS:000501151900005
WOS:000745515800001,WOS:000697296500014
WOS:000745515800001,WOS:000680892400029
WOS:000745515800001,WOS:000528625100011
WOS:000745515800001,WOS:000495016000023
WOS:000745515800001,WOS:000535262400001
WOS:000745515800001,WOS:000447671100002
WOS:000750841600010,WOS:000482244100045
WOS:000750841600010,WOS:000634866300008
WOS:000750841600010,WOS:000519969300009
WOS:000750841600010,WOS:000494891000013
WOS:000750841600010,WOS:000494891000020
WOS:000750841600010,WOS:000563175500017
WOS:000750841600010,WOS:000427763900009
WOS:000750841600010,WOS:000437555800053
WOS:000750841600010,WOS:000482244100072
WOS:000750841600010,WOS:000494891000006
WOS:000750841600010,WOS:000638416700001
WOS:000750841600010,WOS:000612281200001
WOS:000750841600010,WOS:000538267400006
WOS:000750841600010,WOS:000649659300005
WOS:000750841600010,WOS:000504778300033
WOS:000750841600010,WOS:000519969300004
WOS:000750841600010,WOS:000431419800001
WOS:000750841600010,WOS:000519969300017
WOS:000750841600010,WOS:000513989400014
WOS:000750841600010,WOS:000604468700002
WOS:000750841600010,WOS:000515213000034
WOS:000754677500001,WOS:000640429700002
WOS:000741476500015,WOS:000614074100024
WOS:000741476500015,WOS:000344596300006
WOS:000741476500015,WOS:000353799200010
WOS:000741476500015,WOS:000604431700027
WOS:000753776900001,WOS:000583703300011
WOS:000753776900001,WOS:000456465400004
WOS:000753776900001,WOS:000441446300040
WOS:000753776900001,WOS:000564151800045
WOS:000752669900001,WOS:000685655500020
WOS:000752669900001,WOS:000713579500008
WOS:000752669900001,WOS:000676140000001
WOS:000752669900001,WOS:000469030800035
WOS:000752669900001,WOS:000685625100038
WOS:000752669900001,WOS:000676722300001
WOS:000752669900001,WOS:000607492700001
WOS:000752669900001,WOS:000613977600001
WOS:000752669900001,WOS:000629511200001
WOS:000752669900001,WOS:000646310600009
WOS:000752669900001,WOS:000691995800011
WOS:000754540100001,WOS:000713579500008
WOS:000754540100001,WOS:000473248800025
WOS:000754540100001,WOS:000473248800048
WOS:000754540100001,WOS:000741353500011
WOS:000754540100001,WOS:000741322300006
WOS:000754540100001,WOS:000435047000006
WOS:000754540100001,WOS:000614463200021
WOS:000754540100001,WOS:000500034900030
WOS:000754540100001,WOS:000647771000016
WOS:000754540100001,WOS:000710192900047
WOS:000754540100001,WOS:000430290200031
WOS:000754540100001,WOS:000591270500022
WOS:000754540100001,WOS:000571036300001
WOS:000754540100001,WOS:000514777200001
WOS:000754540100001,WOS:000429761600009
WOS:000754540100001,WOS:000616578400007
WOS:000750027000004,WOS:000532515700001
WOS:000750027000004,WOS:000697823100032
WOS:000750027000004,WOS:000619315300001
WOS:000750027000004,WOS:000482212400002
WOS:000750027000004,WOS:000531720100005
WOS:000750027000004,WOS:000707441900003
